Cell ID,Cell Type,Dimorphism
720575941350890544,DNge110,
720575941351919408,AN08B018,
720575941352057904,DNpe054,
720575941352918576,DNg70,
720575941352944432,AN17B007,
720575941352987696,SApp17,
720575941353080624,DNfl042,
720575941353112112,AN07B046,
720575941353247536,AN10B046,
720575941390285462,DNg05,
720575941390308246,DNut054,
720575941390604438,,
720575941390619140,DNg10,
720575941390623382,DNp20,
720575941390722710,DNge025,
720575941391682052,AN10B047,
720575941391756548,DNfl028,
720575941392278678,AN07B089,
720575941392665750,SAxx02,
720575941392742148,AN08B100,
720575941392812548,DNp26,
720575941393196950,DNpe054,
720575941393242628,DNp30,
720575941393354390,AN19B106,
720575941393488790,AN07B046,
720575941393722006,AN08B081,
720575941393745046,AN04A001,
720575941393748630,AN01A006,
720575941393864342,ANXXX041,
720575941393983382,AN07B004,
720575941394119830,DNp42,
720575941394131094,DNg26,
720575941399010595,SApp19,
720575941399042851,DNfl025,
720575941399099427,DNfl033,
720575941399380515,DNg12,
720575941399595555,AN06A062,
720575941400285475,DNnt020,
720575941400290851,DNg49,
720575941400319779,AN08B022,
720575941400480803,SAch02,
720575941400910115,SAch02,
720575941400967459,EAXXX079,
720575941401375011,AN10B051,
720575941401738787,AN_GNG_165,
720575941401753635,DNg06,
720575941401766435,DNbe007,
720575941401783587,AN_GNG_SAD_6,
720575941401786403,DNut042,
720575941401813027,AN17B002,
720575941401814307,DNxl049,
720575941401962787,DNg104,
720575941402226211,SAxx02,
720575941402279971,AN08B089,
720575941402468899,DNp17,
720575941403931248,ANXXX092,
720575941403937136,AN08B015,
720575941403959920,AN08B100,
720575941404619888,AN19B104,known_dimorphic
720575941404711792,DNpe016,
720575941404748144,DNxl097,
720575941404754544,ANXXX169,
720575941404813680,DNut042,
720575941404874352,DNfl021,
720575941404900464,AN_GNG_SAD_32,
720575941404923248,ANXXX043,
720575941404981360,DNp17,
720575941405005168,SAchxx,
720575941405181040,AN_GNG_130,
720575941405473327,DNge015,
720575941405855918,AN12B055,
720575941405864110,SApp09,
720575941405864622,SApp17,
720575941407235502,AN08B098,
720575941407397294,SAch02,
720575941407499055,AN12B089,known_dimorphic
720575941407564718,AN12B011,
720575941407841071,DNp07,
720575941408170799,DNxn165,
720575941408363950,AN17A076,
720575941408436142,AN05B023,
720575941408508078,DNp08,
720575941408535343,DNb08,
720575941408568238,DNb08,
