Cell ID,Cell Type,Dimorphism
720575941350444592,trochanter_flexor,
720575941352743472,ENXXX286,
720575941353301552,sternal_posterior_rotator,
720575941390352388,DProN_d,
720575941391252886,trochanter_flexor,
720575941391802372,ENXXX226,
720575941392605590,MNad13,
720575941399300387,MNad02,
720575941399414563,trochanter_flexor,
720575941400501795,left_ProAN_left_DProN_right_DProN_right_VProN,
720575941402088304,sternal_posterior_rotator,
720575941403875952,MNad53,
720575941404729712,trochanter_flexor,
720575941405886511,MNad43,
720575941406487726,MNad54,
720575941406488494,accessory_tibia_flexor,
720575941407469359,MNxm03,
720575941408338862,tergotrochanter,
720575941408576171,MNad01,
720575941409035691,accessory_tibia_flexor,
720575941409042603,tarsus_depressor,
720575941409044907,CV1030,
720575941409048235,MNad53,
720575941409050795,,
720575941410034859,accessory_tibia_flexor,
720575941411332719,MNad53,
720575941411519855,EN00B001,
720575941411588719,MNad16,
720575941411709073,trochanter_extensor,
720575941411838612,long_tendon_muscle,
720575941411866027,,
720575941411902100,MNad13,
720575941412439956,MNad43,
720575941413600401,ENXXX128,
720575941414478484,pleural_remotor_abductor,
720575941415020572,long_tendon_muscle,
720575941415175196,femur_reductor,
720575941415606556,MNad08,
720575941425056084,tarsus_depressor,
720575941426854228,EN00B013,
720575941428327160,long_tendon_muscle,
720575941428654255,tergopleural_promotor,
720575941430029449,accessory_tibia_flexor,
720575941430524686,MNad16,
720575941431019695,accessory_tibia_flexor,
720575941431154647,accessory_tibia_flexor,
720575941431160824,tibia_flexor,
720575941431539849,MNad54,
720575941431865592,,
720575941431976718,femur_reductor,
720575941432965902,tibia_extensor,
720575941433954446,MNad05,
720575941434381710,hiii2,
720575941434753568,tibia_flexor,
720575941435429676,DProN_d,
720575941435729964,MNad25,
720575941435766060,MNad33,
720575941435830546,long_tendon_muscle,
720575941435859232,tarsus_depressor,
720575941435950734,MNad53,
720575941436003616,sternal_posterior_rotator,
720575941436891103,tarsus_levator,
720575941436910303,ENXXX226,
720575941436955103,MNad26,
720575941436960735,accessory_tibia_flexor,
720575941437467922,sternotrochanter,
720575941437487148,EN00B026,
720575941437614933,MNad16,
720575941438181205,sternal_anterior_rotator,
720575941438845919,MNad40,
720575941438919724,MNad36,
720575941439169042,MNad17,
720575941439209935,MNad54,
720575941439301183,MNad13,
720575941439445823,EN00B019,
720575941439741119,DProN_d,
720575941439876319,MNad18,
720575941440963925,ENXXX128,
720575941442381738,sternotrochanter,
720575941443907754,trochanter_extensor,
720575941445316266,EN00B011,
720575941445324564,accessory_trochanter_flexor,
720575941447103669,long_tendon_muscle,
720575941447389277,trochanter_flexor,
720575941447844430,accessory_tibia_flexor,
720575941447846990,accessory_tibia_flexor,
720575941448798133,femur_reductor,
720575941448945757,DProN_v,
