Cell ID,Cell Type,Dimorphism
720575941350550320,SNta09,
720575941350568496,SNta35,
720575941350569776,SNta37,
720575941350604336,SNta29,
720575941351530032,SNpp51,
720575941351536688,SNch11,
720575941351552816,SNxx33,
720575941351652400,SNppxx,
720575941351680560,SNxx04,
720575941352015920,SNta43,
720575941352016432,SNta38,
720575941352075568,SNxxxx,
720575941352076848,SNta27,
720575941352077104,SNta08,
720575941352082224,SNch09,
720575941352087344,SNta44,
720575941352088624,SNxx14,
720575941352099376,SNxx03,
720575941352535088,SNpp51,
720575941352647216,SNta21,
720575941352904496,SNta21,
720575941352906800,SNch10,
720575941352944688,SNch05,
720575941353553712,SNppxx,
720575941365796976,SNta38,
720575941366999190,SNta37,
720575941366999702,SNta45,
720575941390363396,SNta03,
720575941390521750,SNta35,
720575941390784918,SNpp47,
720575941390787076,SNch04,
720575941390787478,SNta26,
720575941390798742,SNxx22,
720575941390812566,SNta37,
720575941390819222,SNta37,
720575941390823830,SNta38,
720575941390824854,SNch09,
720575941391425540,SNpp53,
720575941391840918,SNpp42,
720575941391853572,SNpp51,
720575941391859716,SNta04,
720575941391868676,SNch05,
720575941391870468,SNpp39,
720575941391873796,SNta43,
720575941391874052,SNta34,
720575941391875588,SNxx05,
720575941391879172,SNta44,
720575941391879940,SNta40,
720575941391939844,SNxx03,
720575941391944964,SNxx05,
720575941391948036,SNch13,
720575941391961238,SNxx30,
720575941391962628,SNta04,
720575941391983364,SNxx10,
720575941391990532,SNch01,
720575941391991044,SNch12,
720575941391992836,,
720575941392038294,SNxx33,
720575941392111254,SNta09,
720575941392178838,SNpp60,
720575941392197270,SNpp47,
720575941392252310,SNpp60,
720575941392289028,SNch12,
720575941392322820,SNxx03,
720575941392327428,SNta30,
720575941392417174,SNpp50,
720575941392495876,SNta38,
720575941392556438,SNch02,
720575941392561558,SNta44,
720575941392562948,SNch12,
720575941392566422,SNch04,
720575941392567190,SNta29,
720575941392594070,SNxxxx,
720575941392596118,SNpp52,
720575941392605956,SNta20,
720575941392683670,SNxx14,
720575941392711684,SNta23,
720575941392712196,SNch02,
720575941392720388,SNta44,
720575941393102998,SNpp08,
720575941393147140,SNxxxx,
720575941393202326,SNta20,
720575941393356694,SNch10,
720575941393364996,,
720575941393408772,SNta21,
720575941393480342,SNta40,
720575941393492630,SNta32,
720575941393503382,SNpp52,
720575941394130582,SNxx03,
720575941394162582,SNta21,
720575941399183907,SNxx02,
720575941399363107,SNta21,
720575941399364899,SNta26,
720575941399378979,SNta09,
720575941399392291,SNta37,
720575941399395107,SNta21,
720575941399517475,SNpp60,
720575941400265763,SNpp58,
720575941400417827,SNta29,
720575941400423459,SNxxxx,
720575941400434979,SNta44,
720575941400580387,SNch12,
720575941400682275,,
720575941400789539,SNch01,
720575941400803875,SNta44,
720575941400814627,SNta41,
720575941400823843,SNta37,
720575941400827171,SNch09,
720575941400872227,SNxx03,
720575941400887331,,
720575941400887587,,
720575941400903203,,
720575941400907811,SNxx03,
720575941400945955,SNta20,
720575941400947747,SNta43,
720575941401556771,SNch09,
720575941401657123,SNta30,
720575941401735203,SNch10,
720575941401760803,SNpp52,
720575941401782307,SNta09,
720575941401812771,SNppxx,
720575941401852963,SNxx05,
720575941402023280,SNpp28,
720575941402186608,SNpp40,
720575941402188400,SNta09,
720575941402202147,SNxxxx,
720575941402225008,SNta43,
720575941402398832,,
720575941402503459,SNpp45,
720575941402690160,SNta31,
720575941403533424,SNta21,
720575941403544944,SNxx33,
720575941403770224,SNppxx,
720575941403879792,SNta44,
720575941403893360,SNta44,
720575941403910000,SNxxxx,
720575941403911536,SNch10,
720575941403918192,SNxx15,
720575941403926128,SNta39,
720575941403930992,SNta32,
720575941404057712,SNxx20,
720575941404060016,SNta20,
720575941404386160,SNta04,
720575941404451440,SNta43,
720575941404746352,SNxxxx,
720575941405296752,SNta33,
720575941405318000,SNxx04,
720575941405337968,SNxx04,
720575941405352304,SNxx05,
720575941405810862,SNch12,
720575941405850671,SNta10,
720575941405872431,SNta09,
720575941405904814,SNpp56,
720575941405908654,SNpp58,
720575941405928622,SNch05,
720575941405939118,SNta09,
720575941405965486,SNta37,
720575941406060974,SNta20,
720575941406099886,SNta29,
720575941406119342,SNta35,
720575941406216622,SNpp43,
720575941406275502,SNpp62,
720575941406945839,SNch02,
720575941406989742,SNpp47,
720575941407048239,SNch06,
720575941407050287,SNta44,
720575941407056558,SNpp61,
720575941407101870,SNta28,
720575941407143215,SNpp17,
720575941407335727,SNta09,
720575941407409582,SNxx14,
720575941407414319,SNpp29,
720575941407418927,SNta33,
720575941407435823,SNta44,
720575941407437871,SNch07,
720575941407469615,SNta29,
720575941407510319,,
720575941407518511,SNxx03,
720575941407520559,SNta42,
720575941407527471,SNxx11,
720575941407529263,SNxx05,
720575941407529390,SNta09,
720575941407560239,SNta23,
720575941407567151,SNch05,
720575941407590574,,
720575941407593646,SNta20,
720575941407604654,SNppxx,
720575941408164655,SNta43,
720575941408296875,SNta09,
720575941408355499,SNta44,
720575941408382638,SNxx04,
720575941408422062,SNxx33,
720575941408437934,SNta09,
720575941408447535,SNta29,
720575941408453423,SNch12,
720575941408456107,SNta02,
720575941408487471,SNppxx,
720575941408521007,SNta30,
720575941408534831,SNta34,
720575941408541999,SNppxx,
720575941408586923,SNta37,
720575941408587435,SNta43,
720575941408588203,SNta35,
720575941408677035,,
720575941409200175,SNppxx,
720575941409226158,SNta20,
720575941409240367,SNta21,
720575941409581483,SNch14,
720575941409598891,SNppxx,
720575941409747115,SNta30,
720575941409753003,SNch07,
720575941409788783,SNta09,
720575941409864303,SNta09,
720575941409876847,SNxx04,
720575941409992619,SNta43,
720575941410014319,SNta29,
720575941410107503,SNta09,
720575941410121327,SNta20,
720575941410140075,SNpp51,
720575941410180207,SNta26,
720575941410208111,SNpp26,
720575941410209195,SNta43,
720575941410219179,SNta11,
720575941410225323,SNxx01,
720575941410233003,SNta20,
