Cell ID,Cell Type,Dimorphism
720575941350274352,GFC1,
720575941350334256,IN00A050,
720575941350352176,IN21A042,
720575941350354224,IN06A085,
720575941350374960,IN08A011,
720575941350393904,IN06B047,
720575941350395952,IN00A022,
720575941350396464,IN00A043,
720575941350409264,IN08B073,
720575941350413360,IN04B108,
720575941350420016,IN03A071,
720575941350424112,IN14A018,
720575941350427696,IN10B052,
720575941350441008,IN16B092,
720575941350441264,IN20A.22A085,
720575941350443312,IN01A042,
720575941350455344,IN19A106,
720575941350471472,IN13A053,
720575941350473008,IN08B108,
720575941350482992,INXXX459,dimorphic
720575941351040304,IN01B065,
720575941351164464,INXXX053,
720575941351909680,IN13B037,
720575941351912496,IN14A021,
720575941351912752,IN16B080,
720575941351927600,IN07B038,
720575941352368688,IN13B029,
720575941352738608,,
720575941352867120,IN19B047,
720575941352898608,INXXX459,dimorphic
720575941352900400,IN03A060,
720575941352907824,INXXX930_f,sex_specific
720575941352917296,IN14A015,
720575941352919856,IN03A022,
720575941352922928,IN20A.22A010,
720575941352925744,IN07B053,
720575941352934192,IN21A013,
720575941352941360,IN23B068,
720575941352943152,IN09A001,
720575941352943920,IN20A.22A041,
720575941352944176,IN20A.22A008,
720575941352944944,IN12B023,
720575941352946736,IN00A032,
720575941353177392,INXXX440,
720575941353376048,IN06B014,
720575941354043184,,
720575941354124592,IN03A006,
720575941354246960,INXXX436,
720575941354252592,IN23B044,
720575941390135044,IN06A082,
720575941390136324,IN08B093,
720575941390193156,IN13A043,
720575941390243332,IN01B054,
720575941390264580,IN21A099,
720575941390268164,IN01B048,
720575941390273796,IN11B016,
720575941390279940,IN11A016,
720575941390280452,IN03A056,
720575941390292996,IN20A.22A067,
720575941390313988,IN11B015,
720575941390320644,IN03B071,
720575941390326532,IN11A044,
720575941390330372,IN13A061,
720575941390336260,IN13A064,
720575941390352900,IN14B012,
720575941390358788,IN01A016,
720575941390360836,IN19A106,
720575941390527638,IN03B036,
720575941390532868,IN01B095,
720575941390572950,IN06A059,
720575941390627222,INXXX411,dimorphic
720575941390632342,IN01A062,
720575941390634134,IN20A.22A009,
720575941390660502,IN03B090,
720575941390663574,IN19A101,
720575941390671766,IN02A048,
720575941390672790,IN21A057,
720575941390677654,IN07B008,
720575941390682262,IN11A030,
720575941390684310,dMS2,
720575941390688150,IN06B071,
720575941390690966,IN16B122,
720575941390702742,IN13A045,
720575941390713238,IN03A047,
720575941390724246,IN09A039,
720575941390725270,IN13A049,
720575941390728598,IN20A.22A092,
720575941390733974,IN21A105,
720575941390740118,IN13A045,
720575941390742934,IN13A040,
720575941390750358,IN13A054,
720575941390761878,INXXX315,
720575941390767254,IN01B022,
720575941390822404,IN09A010,
720575941390883478,IN19A133,
720575941391038468,IN08A034,
720575941391252630,INXXX846_f,sex_specific
720575941391792388,IN16B098,
720575941391803140,IN06B074,
720575941391811076,IN02A034,
720575941391925508,IN05B064,
720575941391926020,IN06A084,
720575941391968150,IN01A028,
720575941391970710,IN12B033,
720575941392030614,IN02A066,
720575941392034198,IN01B007,
720575941392036246,IN01B012,
720575941392039574,IN04B073,
720575941392178326,IN09A094,
720575941392219542,IN09A088,
720575941392302852,IN19B081,
720575941392418710,IN12B040,
720575941392423830,IN06A075,
720575941392424598,IN01B021,
720575941392484612,IN12B072,
720575941392491268,IN19B071,
720575941392492804,IN03A052,
720575941392519830,,
720575941392587414,IN17A041,
720575941392604054,IN19B080,
720575941392658582,INXXX140,
720575941392667286,IN08B083,
720575941392725910,IN09B047,
720575941392736772,IN14A023,
720575941392743940,IN03B062,
720575941392744964,IN05B080,
720575941392752132,INXXX843_f,sex_specific
720575941392752388,INXXX329,
720575941393197206,IN14A056,
720575941393486230,INXXX406,
720575941393489302,IN17A060,
720575941393489814,IN13A061,
720575941393490326,IN03B066,
720575941393490838,IN06B027,
720575941393492374,IN04B096,
720575941393495446,INXXX134,
720575941393708804,IN19A106,
720575941393732502,IN01A046,
720575941393958916,,
720575941393960964,IN21A041,
720575941393963524,INXXX290,dimorphic
720575941393969924,,
720575941393994244,,
720575941394030596,,
720575941394034436,,
720575941394069654,IN12A054,
720575941394472342,IN16B064,
720575941394515606,INXXX903_f,sex_specific
720575941394649238,INXXX917_f,sex_specific
720575941394766742,IN08A031,
720575941394767254,IN03A059,
720575941394770838,INXXX851_f,sex_specific
720575941394831766,,
720575941394835350,,
720575941399163683,IN20A.22A045,
720575941399164451,IN20A.22A045,
720575941399188003,IN07B063,
720575941399201315,IN06A113,
720575941399201827,IN03A061,
720575941399251235,IN12A062,
720575941399253283,IN03B066,
720575941399264291,IN03B089,
720575941399288355,IN10B055,
720575941399292707,IN13B025,
720575941399309603,IN03B066,
720575941399314723,IN13B069,
720575941399317539,IN13B029,
720575941399323683,IN20A.22A067,
720575941399324963,IN20A.22A083,
720575941399339811,IN09A037,
720575941400420899,IN01B065,
720575941400688419,IN09A029,
720575941400698403,IN12B086,
720575941400698659,INXXX288,
720575941400700451,INXXX443,dimorphic
720575941400703267,IN06A067,
720575941400707875,IN08A034,
720575941400710435,IN06A097,
720575941400730403,IN14A021,
720575941400736035,IN01A052,
720575941400757795,INXXX419,
720575941400788771,IN03A061,
720575941400818723,IN14B007,
720575941401454883,IN13A058,
720575941401456931,IN06B081,
720575941401753379,IN07B002,
720575941401761315,INXXX979_f,sex_specific
720575941401772067,INXXX988_f,sex_specific
720575941401773091,IN04B078,
720575941401775651,INXXX143,
720575941401776931,IN12A015,
720575941401780003,IN08B058,
720575941401795107,INXXX431,dimorphic
720575941401795619,IN17A020,
720575941401815331,IN07B074,
720575941402032240,IN19B043,
720575941402049904,IN01A068,
720575941402058608,IN00A040,
720575941402059632,IN06A042,
720575941402071408,IN12B035,
720575941402085744,,
720575941402086000,IN12B037,
720575941402086768,IN18B054,
720575941402112547,IN12B042,
720575941402129008,INXXX446,dimorphic
720575941402136944,IN13B046,
720575941402163824,IN03A097,dimorphic
720575941402383907,IN14A106,
720575941402442531,IN01B026,
720575941402823715,IN09A016,
720575941403097123,,
720575941403210275,IN13A004,
720575941403216163,IN23B062,
720575941403224099,IN04B033,
720575941403225379,IN00A009,
720575941403521648,IN03A022,
720575941403537776,IN06A064,dimorphic
720575941403812976,IN20A.22A092,
720575941403816304,INXXX935_f,sex_specific
720575941403818864,IN19B071,
720575941403824752,INXXX290,dimorphic
720575941403825008,IN09A074,
720575941403864432,IN01B070,
720575941403865456,INXXX967_f,sex_specific
720575941403942768,IN05B016,
720575941404041072,IN05B051,
720575941404452720,IN07B047,
720575941404724080,IN10B007,
720575941404724848,IN03B067,
720575941404727920,IN09A017,
720575941404749424,IN23B016,
720575941404752752,IN12B005,
720575941404758384,IN06A077,
720575941404911472,IN04B054,
720575941405334384,IN00A038,
720575941405601839,IN12B023,
720575941405724719,IN13A024,
720575941405739823,IN03B053,
720575941405745455,INXXX242,dimorphic
720575941405745967,IN01A081,
720575941405747247,INXXX421,dimorphic
720575941405758767,IN13B036,
720575941405771694,IN10B052,
720575941405779630,IN09A071,
720575941405783343,IN06A109,
720575941405787310,IN21A049,
720575941405794351,IN20A.22A084,
720575941405813295,IN06B066,
720575941405815343,IN06B062,
720575941405815726,IN20A.22A060,
720575941405820463,IN10B052,
720575941405826095,IN09A022,
720575941405833263,IN16B051,
720575941405838639,IN03B088,
720575941405843118,IN17A093,
720575941405843759,IN08A043,
720575941405855150,IN04B107,
720575941405859631,IN20A.22A058,
720575941405862062,IN04B094,
720575941405862574,IN01B057,
720575941405863854,IN16B092,
720575941405868462,IN17A052,
720575941405878446,IN20A.22A055,
720575941405878831,IN19A070,
720575941405891246,IN01A077,
720575941405891502,INXXX446,dimorphic
720575941405895342,IN13A068,
720575941405898926,IN21A102,
720575941405899438,INXXX257,
720575941405909934,IN14A098,
720575941405938544,IN19A012,
720575941406015918,IN17A120,
720575941406055792,,
720575941406060144,IN14A012,
720575941406203183,IN20A.22A079,
720575941406871214,IN09A039,
720575941406978095,IN19A105,
720575941407049775,IN14A047,
720575941407052847,IN17A058,
720575941407101614,IN11B012,
720575941407294638,IN19A021,
720575941407340079,IN14A068,
720575941407360559,IN20A.22A077,
720575941407363246,,
720575941407410094,IN03A065,
720575941407451695,IN19A098,
720575941407456303,IN01B095,
720575941407457839,INXXX290,dimorphic
720575941407463471,IN08B054,
720575941407464751,IN01A004,
720575941407478063,IN12B005,
720575941407485870,INXXX884_f,sex_specific
720575941407500462,IN23B066,
720575941407510702,IN07B065,
720575941407535534,INXXX332,
720575941407564974,IN10B058,
720575941407598127,IN01A032,
720575941407793455,IN11B019,
720575941407794862,IN17A052,
720575941407795118,IN19B067,
720575941407900975,IN09B046,
720575941407916079,IN08A031,
720575941408041263,IN19A057,
720575941408049070,IN17A022,
720575941408199471,IN19A098,
720575941408246955,IN01A069,
720575941408257195,IN09A020,
720575941408320430,IN19B012,
720575941408322990,INXXX942_f,sex_specific
720575941408353454,INXXX100,
720575941408360619,IN19A088,
720575941408417454,IN01B085,
720575941408418475,,
720575941408421291,IN08B085,
720575941408422318,IN01B027,
720575941408423854,INXXX221,
720575941408425390,IN03A089,
720575941408441262,INXXX455,
720575941408442542,IN03A031,
720575941408444587,INXXX921_f,sex_specific
720575941408445358,IN09B043,
720575941408453547,IN01B048,
720575941408456110,IN12A053,
720575941408457902,IN01B077,
720575941408462507,IN03A067,
720575941408464299,IN11B004,dimorphic
720575941408471855,IN05B016,
720575941408475439,IN21A111,
720575941408480683,IN04B031,
720575941408480815,IN01A035,
720575941408481195,IN08B083,
720575941408492335,IN06A130,dimorphic
720575941408493103,IN01A025,
720575941408494251,IN08A036,
720575941408496431,IN01B012,
720575941408508587,IN13A023,
720575941408509867,IN18B034,
720575941408514219,IN19A122,
720575941408514731,IN19A064,
720575941408515119,IN06A132,
720575941408515631,IN21A087,
720575941408525359,IN14A040,
720575941408530223,IN09B043,
720575941408534699,IN09A032,
720575941409016235,IN19B075,
720575941409031595,IN06A113,
720575941409041835,IN01B063,
720575941409043627,IN06A129,
720575941409197998,IN12B027,
720575941409198254,IN23B007,
720575941409576751,IN06A111,
720575941409585711,IN03B053,
720575941409586735,IN06A138,
720575941409631599,,
720575941409672363,IN01B046,
720575941409774703,IN09A064,
720575941409796975,IN17A061,
720575941409801583,IN20A.22A033,
720575941409848111,IN14A123,
720575941409860782,IN20A.22A001,
720575941409865390,IN21A065,
720575941409868206,,
720575941409869998,IN01A051,dimorphic
720575941409870510,IN05B028,
720575941409874350,IN08A005,
720575941409904495,IN02A043,
720575941409916271,INXXX961_f,sex_specific
720575941409919343,IN04B034,
720575941409932911,IN21A011,
720575941409935471,IN20A.22A035,
720575941409939055,IN03B066,
720575941409951855,IN01B056,
720575941409960815,IN14A017,
720575941409975663,IN13A025,
720575941409978223,IN08B085,
720575941409982831,IN00A034,
720575941409987695,IN13A034,
720575941409988014,,
720575941409994863,IN19B071,
720575941409999663,IN17A075,
720575941410004079,IN19A086,
720575941410007407,IN08A023,
720575941410007663,IN11B017,
720575941410017391,IN01B017,
720575941410018159,IN13A006,
720575941410019695,IN11B022,
720575941410021231,IN11B022,
720575941410025071,IN11B020,
720575941410030895,IN20A.22A030,
720575941410031983,IN21A080,
720575941410035627,INXXX399,dimorphic
720575941410037419,IN03B074,
720575941410047343,IN09A013,
720575941410047855,IN21A042,
720575941410052975,INXXX446,dimorphic
720575941410053167,IN17A041,
720575941410061167,IN20A.22A017,
720575941410062703,IN13A011,
720575941410073711,IN03A066,
720575941410088047,IN21A062,
720575941410088559,IN03B055,
720575941410120107,IN13A047,
720575941410153263,IN14A004,
720575941411072427,IN12B007,
720575941411165099,IN20A.22A037,
720575941411166891,IN04B035,
720575941411176107,IN04B072,
720575941411178095,IN09A073,
720575941411178411,INXXX285,dimorphic
720575941411180203,IN01A083,
720575941411192235,INXXX265,dimorphic
720575941411196075,IN21A009,
720575941411197867,IN04B054,
720575941411198635,IN17A111,
720575941411205547,IN12B042,
720575941411207535,IN14A077,
720575941411208875,IN20A.22A073,
720575941411209131,IN19A028,
720575941411210155,IN18B047,dimorphic
720575941411210667,IN19B041,
720575941411216043,INXXX450,
720575941411222699,IN07B034,
720575941411223211,IN23B077,
720575941411229867,IN06A066,
720575941411231147,IN08B090,
720575941411546001,IN16B092,
720575941411550319,IN14A090,
720575941411550831,IN19A117,
720575941411552111,IN08A007,
720575941411554671,IN03B091,
720575941411572847,IN03B059,
720575941411594607,IN03B090,
