source_group,body_part_sensory,target_type,dim_category,super_class,median_influence,adjusted_influence
alcoholic_fermentation_volatile [antenna],antenna,AN00A006,cross-mapped dimorphic,ascending,4.4947056076994314e-5,13.989974707527026
alcoholic_fermentation_volatile [antenna],antenna,AN03A008,specific,ascending,2.9053372364976772e-5,13.553624006891162
alcoholic_fermentation_volatile [antenna],antenna,AN05B023c,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,3.5984455803834945e-6,11.464991411025764
alcoholic_fermentation_volatile [antenna],antenna,AN05B035,specific,ascending,3.698493974367434e-5,13.795000237864397
alcoholic_fermentation_volatile [antenna],antenna,AN05B095,specific,ascending,2.0213518086793028e-5,13.190841034837717
alcoholic_fermentation_volatile [antenna],antenna,AN05B102a,cross-mapped dimorphic,ascending,1.0446677802203276e-5,12.530773456236526
alcoholic_fermentation_volatile [antenna],antenna,AN05B102b,cross-mapped dimorphic,ascending,1.1743741415144613e-5,12.647809895200268
alcoholic_fermentation_volatile [antenna],antenna,AN05B102c,cross-mapped dimorphic,ascending,2.2570785555840445e-5,13.301145837569202
alcoholic_fermentation_volatile [antenna],antenna,AN05B102d,cross-mapped dimorphic,ascending,2.065628515714191e-5,13.212509081096133
alcoholic_fermentation_volatile [antenna],antenna,AN05B103,cross-mapped dimorphic,ascending,6.781517440919024e-5,14.401275423285043
alcoholic_fermentation_volatile [antenna],antenna,AN06B004,specific,ascending,7.925187189691577e-5,14.55712047466452
alcoholic_fermentation_volatile [antenna],antenna,AN08B009,other-dimorphic,ascending,5.3769484859218835e-5,14.169195552361705
alcoholic_fermentation_volatile [antenna],antenna,AN08B020,specific,ascending,6.239122068986621e-5,14.317914013440111
alcoholic_fermentation_volatile [antenna],antenna,AN08B031,cross-mapped dimorphic,ascending,1.4816844235258429e-4,15.18283919263166
alcoholic_fermentation_volatile [antenna],antenna,AN08B035,specific,ascending,6.670193444766653e-5,14.384723396750639
alcoholic_fermentation_volatile [antenna],antenna,AN08B043,other-dimorphic,ascending,9.728085296574142e-5,14.762091628366267
alcoholic_fermentation_volatile [antenna],antenna,AN08B047,other-dimorphic,ascending,5.822630127863407e-5,14.248826606695664
alcoholic_fermentation_volatile [antenna],antenna,AN08B059,other-dimorphic,ascending,8.531474154594316e-5,14.630836701601037
alcoholic_fermentation_volatile [antenna],antenna,AN08B059,specific,ascending,7.87306976578239e-5,14.550522580590323
alcoholic_fermentation_volatile [antenna],antenna,AN08B061,cross-mapped dimorphic,ascending,9.326531594227424e-5,14.7199377331025
