Cell ID,Cell Type,Dimorphism
10000,DNp01,
10002,DNp01,
10012,DNp18,
10016,AN19B001,
10021,DNp18,
10022,vMS16,known_sex_specific
10023,DNp20,
10052,ANXXX002,
10056,vMS16,known_sex_specific
10058,DNg108,
10061,DNxl053,known_sex_specific
10063,AN19B001,
10086,DNg105,
10093,DNg100,
10095,DNg105,
10097,DNxl080,
10098,AN02A001,
10101,DNg15,
10102,ANXXX002,
10103,DNg74,
10107,DNg74,
10111,DNxl053,known_sex_specific
10112,AN19B001,
10113,DNp11,
10117,DNxl080,
10118,DNa02,
10121,DNg15,
10122,DNp11,
10126,DNa02,
10137,AN02A001,
10138,DNg16,
10140,ANXXX007,
10142,AN05B005,
10149,ANXXX027,
10157,DNp02,
10159,AN05B005,
10163,AN23B003,
10165,AN18B001,
10174,AN05B010,
10179,AN04B001,
10180,AN02A002,
10182,AN19B001,
10194,DNd02,
10195,AN12B001,
10205,AN19B004,
10208,AN12B004,
10210,DNg34,
10211,AN04B001,
10217,DNg34,
10221,AN05B006,
10223,AN17B002,
10232,AN19B004,
10234,ANXXX007,
10240,DNg108,
10241,AN05B006,
10245,AN12B005,
10255,DNg16,
10257,AN06B002,
10266,AN05B009,
10269,DNut040,
10278,AN06B002,
10279,DNxl049,
10282,AN19A018,known_sex_specific
10284,DNut040,
10291,DNxl134,
10294,AN07B003,
10295,AN07B005,
10307,DNb05,
10311,ANXXX005,
10313,AN18B001,
10314,AN04B001,
10315,DNb05,
10322,AN07B003,
10323,DNp15,
10327,AN05B004,
10331,DNp02,
10334,AN18B004,
10336,DNg98,
10338,dMS9,known_dimorphic
10339,DNg100,
10344,AN17A003,
10351,AN19A018,known_sex_specific
10356,AN12B006,
10360,AN06B002,
10378,AN27X009,
10381,AN05B007,
10382,AN17B002,
10394,AN04B003,
10397,AN12B005,
10399,DNg93,
10400,AN27X003,known_sex_specific
10407,ADNM1,
10410,DNd03,
10411,AN14A003,
10413,AN04B001,
10417,AN12B001,
10418,AN07B005,
10419,AN05B007,
10420,DNg93,
10426,AN07B005,
10428,DNp31,
10429,AN03B009,
10436,DNp31,
10442,AN17A014,
10443,AN07B005,
10446,AN27X009,
10448,AN09B007,
10449,AN19A018,known_sex_specific
10451,AN18B004,
10452,AN03B011,
10465,DNg35,
10466,DNg74,
10470,AN03B011,
10471,AN18B003,
10476,DNg35,
10479,AN12B004,
10491,DNd03,
10494,dMS9,known_dimorphic
10502,AN03B009,
10506,DNa10,
10512,AN02A002,
10516,AN04A001,
10518,AN01A001,
10519,AN18B002,
10526,DNd02,
10528,AN19A018,known_sex_specific
10531,DNa10,
10532,DNg74,
10535,DNxl014,
10540,AN07B005,
10541,AN06B037,
10549,ANXXX013,
10550,AN03B011,
10557,ANXXX006,
10560,AN06B002,
10562,DNxl014,
10564,AN19A018,known_sex_specific
10567,ANXXX013,
10568,AN19B009,
10574,AN06B002,
10577,ANXXX027,
10585,AN05B096,
10591,AN05B010,
10595,AN19B010,
10602,ANXXX037,
10603,AN05B006,
10604,AN03A002,
10610,AN03B011,
10613,AN07B004,
10621,DNa15,
10622,AN10B008,
10623,DNxl134,
10633,DNut060,
10634,DNp06,
10639,DNxn142,
10641,AN08B009,known_sex_specific
10647,AN01A014,
10648,DNxl133,
10650,AN00A002,
10656,DNg97,
10657,AN06B004,known_sex_specific
10663,DNp73,
10675,AN01B002,
10681,DNp26,
10687,AN07B005,
10689,AN06B004,known_sex_specific
10696,AN09B004,
10697,DNut060,
10704,AN07B015,
10713,AN19B010,
10717,DNp73,
10718,AN12B004,
10719,DNxn125,
10720,DNa15,
10721,DNxn142,
10726,AN17A012,
10727,AN05B096,
10732,DNp10,
10746,AN07B013,
10750,AN14A003,
10751,DNa01,
10758,AN05B006,
10759,DNxn125,
10760,DNa01,
10761,AN01A001,
10769,ANXXX006,
10770,ANXXX024,
10771,AN06B045,
10772,AN14A003,
10773,AN17A024,
10785,AN08B005,
10788,AN19A018,known_sex_specific
10795,AN17B005,
