Cell ID,Cell Type,Dimorphism
10004,IN13B070,
10010,IN07B001,
10018,IN07B001,
10019,IN14A012,
10024,IN04B041,
10025,IN12B002,
10031,IN06B001,
10039,IN01A007,
10042,IN03B001,
10051,IN09A004,
10053,IN06B001,
10054,IN17B001,
10059,INXXX003,
10060,IN16B020,
10062,IN21A002,
10065,INXXX003,
10066,IN05B003,
10070,IN12B002,
10071,IN19A061,
10072,IN17A001,
10073,w-cHIN,
10075,IN10B001,sex_specific
10076,IN05B001,
10082,IN05B002,
10083,vMS17,sex_specific
10084,IN01A001,
10085,IN11A001,
10087,IN07B001,
10089,IN08B001,
10090,IN07B002,
10091,IN08B001,
10096,IN27X002,sex_specific
10099,IN10B001,sex_specific
10100,,
10104,IN27X002,sex_specific
10105,w-cHIN,
10108,IN19A004,
10109,IN27X002,sex_specific
10114,vMS17,sex_specific
10116,IN13B001,
10119,IN27X002,sex_specific
10124,IN13B006,
10125,IN19A008,
10127,IN00A003,
10132,IN03B005,
10133,IN19A001,
10134,IN19A008,
10136,IN12B002,
10139,IN05B002,
10141,IN12B002,
10143,IN11B004,dimorphic
10144,IN19A003,
10146,IN19A002,
10147,w-cHIN,
10148,IN07B006,
10150,IN19A001,
10151,IN19B002,
10152,IN01A001,
10153,IN13A001,
10154,IN19A003,
10156,IN19A003,
10158,IN20A.22A067,
10160,IN06B017,
10164,IN05B001,
10166,IN07B001,
10167,IN16B072,
10168,IN13A002,
10169,IN19A001,
10170,w-cHIN,
10171,IN03B005,
10172,IN19B002,
10173,IN19A009,
10176,IN19A002,
10177,IN19B013,
10183,w-cHIN,
10184,IN19A011,
10185,IN13A003,
10186,IN13A001,
10187,IN21A004,
10188,IN19A004,
10190,IN27X003,sex_specific
10191,IN19A004,
10192,IN19A003,
10193,IN02A003,
10196,IN19A001,
10197,IN27X004,sex_specific
10198,IN08A002,
10199,IN19A008,
10201,IN03B008,
10202,IN23B001,
10203,IN08A002,
10206,IN07B006,
10207,IN19A004,
10209,IN02A003,
10213,IN19A001,
10214,IN05B094,
10215,IN19A007,
10220,IN19B003,
10222,INXXX008,sex_specific
10226,INXXX027,
10227,IN13B001,
10228,GFC1,
10229,IN13B001,
10230,IN13A009,
10231,IN19B003,
10233,IN19A005,
10235,IN13A001,
10236,IN19A016,
10237,IN19A006,
10239,IN03A016,
10242,IN19A007,
10243,IN08A008,
10244,w-cHIN,
10246,IN06B017,
10249,IN05B094,
10250,IN27X003,sex_specific
10251,w-cHIN,
10252,IN19A007,
10253,IN12B005,
10254,IN19A011,
10256,IN19A002,
10258,IN19A002,
10259,IN19A005,
10262,IN03A001,
10263,IN13A002,
10264,IN07B002,
10265,IN13B001,
10267,dPR1,sex_specific
10268,IN13B001,
10271,IN03B011,
10273,IN00A002,
10274,INXXX464,
10275,IN03B012,
10276,IN12A001,
10280,IN09A001,
10281,INXXX045,dimorphic
10283,IN05B003,
10286,INXXX045,dimorphic
10288,IN19A001,
10289,IN13A002,
10293,IN09A001,
10296,IN23B001,
10297,IN07B006,
10298,IN07B002,
10299,INXXX025,sex_specific
10300,dPR1,sex_specific
10301,IN08B003,sex_specific
10302,IN19B003,
10303,IN01A002,
10304,IN11B004,dimorphic
10305,IN21A001,
10306,IN07B007,
10308,IN19A011,
10310,IN19A014,
10312,IN21A001,
10317,IN19A005,
10318,IN07B029,
10320,IN13B001,
10321,IN13A005,
10324,IN13B004,
10326,IN11B001,
10328,IN01A002,
10329,IN03B008,
10330,IN27X004,sex_specific
10332,IN08A002,
10333,INXXX027,
10335,IN07B010,
10337,IN02A003,
10340,IN07B006,
10341,IN03A039,
10342,IN09A002,
10343,IN19A015,
10346,IN19A007,
10348,IN27X001,
10349,IN06A028,
10350,IN13A003,
10352,IN19A005,
10354,IN08A002,
10357,IN21A047,
10358,IN19A005,
10362,IN03A001,
10363,IN19A004,
10365,IN13B025,
10366,w-cHIN,
10367,IN12B002,
10369,IN23B033,
10370,IN12B003,
10372,IN19A003,
10373,IN07B002,
10374,IN05B010,
10376,IN19A006,
10377,IN21A002,
10379,IN12B002,
10380,IN09A002,
10384,IN19A009,
10385,IN19B005,
10387,IN04B001,
10388,IN03A001,
10389,IN13A050,
10390,IN12B003,
10391,IN08B003,sex_specific
10393,IN19A067,
10395,IN08A003,dimorphic
10396,IN03B011,
10398,IN14B001,
10402,dMS5,
10403,IN09A002,
10404,IN07B002,
10405,IN13A003,
10408,INXXX100,
10409,IN06B015,
10412,IN03A001,
10414,IN04B001,
10415,IN19A006,
10416,IN07B002,
10421,IN02A003,
10422,IN19A012,
10423,IN07B007,
10424,IN14A001,
10425,IN13B006,
10427,IN19A007,
10430,IN13B005,
10431,IN13B004,
10432,INXXX022,
10435,IN27X005,
10438,IN01A003,
10439,IN12A002,
10440,IN07B010,
10441,IN27X001,
10444,IN12B007,
10445,IN09A002,
10447,IN19A006,
10450,IN19B005,
10453,IN19A009,
10454,IN18B005,
10455,IN03B012,
10456,IN07B007,
10457,IN01A079,
10458,IN13B004,
10463,IN07B009,
10467,IN14A001,
10468,w-cHIN,
10472,INXXX032,sex_specific
10474,IN07B008,
10475,IN12B003,
10477,IN00A001,
10478,IN19B003,
10480,IN05B008,sex_specific
10481,w-cHIN,
10483,IN03A007,
10484,IN06B003,
10485,IN18B005,
10486,IN13B006,
10487,IN26X001,
10488,IN12B003,
10489,IN19A005,
10490,IN18B005,
10492,IN11B022,
10495,IN12B018,
10496,IN05B010,
10497,IN16B018,
10498,IN17A001,
10499,IN19A010,
10500,INXXX011,
10501,IN13B005,
10503,IN19A002,
10504,INXXX023,
10507,IN03B012,
10508,IN12B003,
10509,INXXX011,
10510,w-cHIN,
10511,IN06B003,
10513,INXXX053,
10520,IN14A001,
10522,IN19A010,
10523,IN19A013,
10529,IN00A007,
10530,IN08A003,dimorphic
10533,IN14A002,
10534,IN19B004,
10536,INXXX032,sex_specific
10537,IN09A003,
10538,IN08B004,
10539,IN19B008,
10542,IN19A010,
10545,IN18B005,
10546,IN17B004,
10547,IN19A013,
10551,IN19A015,
10552,IN19A014,
10553,IN13A012,
10554,IN12A003,
10555,IN19A009,
10558,IN17A001,
10559,IN17A001,
10561,IN19B004,
10563,IN01B001,
10565,IN13A009,
10566,IN17B006,
10569,IN01A007,
10570,IN17A007,
10573,IN13A005,
10575,IN14B001,
10578,IN17A007,
10579,IN08B004,
10580,IN16B018,
10582,IN19A006,
10583,IN01A003,
10584,IN13A002,
10586,IN08A005,
10587,IN07B007,
10588,IN19A019,
10590,IN03B021,
10593,IN07B007,
10594,IN07B002,
10596,INXXX126,sex_specific
10598,IN08B008,
10599,IN03B021,
10600,IN01A009,
10601,IN17B004,
10605,IN06B012,
10606,IN17B003,
10607,IN26X001,
10608,IN14A002,
10609,IN19A010,
10611,IN08B008,
10612,IN13B005,
10615,IN00A007,
10617,IN16B016,
10618,IN19A004,
10619,INXXX023,
10620,IN13B004,
10624,IN13B004,
10625,IN12A003,
10626,IN14A002,
10627,IN13B005,
10628,IN09A007,
10629,dMS2,
10630,IN09A002,
10631,INXXX027,
10632,IN17B004,
10635,IN13A037,
10637,IN14A002,
10640,IN13A001,
10642,INXXX038,
10643,INXXX134,
10646,IN07B008,
10651,IN26X001,
10652,IN08A006,
10653,IN08A005,
10654,IN06B012,
10655,IN13A004,
10658,IN05B028,
10659,IN16B014,
10661,IN01A005,
10662,IN21A001,
10664,IN13B005,
10665,IN01A007,
10667,w-cHIN,
10668,w-cHIN,
10670,IN19A002,
10671,IN08A005,
10672,IN08A005,
10673,IN07B009,
10674,IN13A004,
10677,INXXX464,
10678,IN08A005,
10679,IN09A010,
10680,IN19B011,
10682,IN21A003,
10684,IN09A007,
10685,IN19A016,
10686,INXXX004,
10690,IN17A001,
10691,IN08A002,
10692,IN21A001,
10693,IN19A012,
10699,IN17B004,
10700,IN13A007,
10701,IN19B011,
10702,IN13A002,
10703,IN26X001,
10705,IN13B006,
10707,IN17A001,
10711,IN13A010,
10712,INXXX045,dimorphic
10714,IN01A004,
10715,IN19B012,
10716,IN07B048,
10722,IN08A006,
10724,IN19B008,
10725,IN05B008,sex_specific
10728,IN21A001,
10729,IN11B001,
10730,IN19A012,
10731,IN19A014,
10734,IN09A001,
10735,IN12B005,
10736,INXXX032,sex_specific
10738,IN13B006,
10739,IN14A008,
10740,IN02A007,
10741,IN13A004,
10742,IN09A003,
10745,IN14A002,
10747,IN09A004,
10748,IN14A002,
10749,IN18B020,
10752,IN10B002,sex_specific
10754,IN18B029,dimorphic
10755,IN02A007,
10756,IN16B018,
10757,IN17B003,
10762,IN10B003,
10763,IN18B008,
10764,IN19A026,
10765,IN18B006,
10767,IN17B006,
10768,IN03B016,
10775,IN27X007,sex_specific
10776,IN14B002,
10777,INXXX035,
10779,IN17A022,
10780,IN21A001,
10781,IN03B016,
10783,IN01A012,
10784,IN03A007,
10786,IN09A003,
10789,IN01A011,
10790,IN19B012,
10791,IN03B015,
10792,IN01A011,
10793,IN19A016,
10794,IN06B022,
10799,IN07B104,
10800,IN18B008,
10801,IN09A003,
10802,IN07B007,
10803,IN08A005,
10806,IN01A005,
10807,IN06B008,
10808,INXXX027,
10809,IN05B005,
10810,IN09A002,
10812,IN06B013,
10814,IN27X007,sex_specific
10816,IN10B002,sex_specific
10817,dMS2,
10818,INXXX032,sex_specific
10820,IN13A002,
10824,IN13A006,
10826,IN19A013,
10827,IN03A004,
10828,IN19A012,
10833,IN13A013,
10834,IN16B014,
10836,IN05B010,
10837,IN13A012,
10838,IN10B004,
10839,IN05B011,
10841,IN10B003,
10842,w-cHIN,
10844,IN19A017,
10845,IN21A002,
10846,IN18B011,
10850,IN13A005,
10852,IN14A004,
