Cell ID,Cell Type,Dimorphism
10011,hg1,
10013,b1,
10014,DLM1-4,
10017,b1,
10055,b3,
10064,b2,
10067,b3,
10068,TTMn,
10074,DLM5,
10088,DLM1-4,
10094,EN00B003,
10110,TTMn,
10115,i1,
10123,hg1,
10129,iii1,
10130,hg3,
10131,b2,
10145,i2,
10175,EN00B002,
10178,MNwm36,
10200,hg4,
10204,ps1,
10225,i1,
10270,tp2,
10287,iii3,
10347,tibia_extensor,
10359,MNad23,
10361,DLM1-4,
10383,MNad22,
10386,MNad22,
10401,EN00B004,
10433,hg4,
10460,MNad42,
10461,tibia_extensor,
10462,tibia_extensor,
10473,MNad21,
10482,MNad21,
10493,EN00B004,
10505,MNad23,
10514,ENXXX012,
10521,tp1,
10524,MNad69,
10527,MNad68,
10543,tpn,
10548,MNad21,
10571,MNhm42,
10589,DLM5,
10592,DLM1-4,
10597,mesVUM-MJ,
10614,iii1,
10616,MNad21,
10660,MNad68,
10669,DVM1a-c,
10676,MNad69,
10694,ps2,
10710,tibia_flexor,
10733,DVM1a-c,
10737,tibia_extensor,
10753,MNad19,
10766,tp2,
10778,tp1,
10782,MNad42,
10787,MNad34,
10811,long_tendon_muscle,
10825,MNhm03,
10840,MNad41,
10865,MNad67,
10866,trochanter_extensor,
10872,MNad66,
10892,DLM1-4,
10904,MNad41,
10915,MNad65,
10931,hg3,
10958,ps1,
10968,MNhl68,
10985,EN27X010,
11022,sternal_anterior_rotator,
11033,MNnm10,
11054,ps2,
11059,MNnm08,
11063,MNad67,
11073,EN27X010,
11092,EN00B010,
11097,MNad64,
11107,EN27X010,
11115,tibia_extensor,
11170,EN00B008,
11179,EN00B009,
11200,EN00B010,
11207,EN00B007,
11226,femur_reductor,
11232,MNad20,
11242,MNad22,
11265,MNad65,
11274,MNhl02,
11283,MNad19,
11294,tpn,
11296,EN00B013,
11334,EN00B013,
11372,MNxm01,
11375,MNad63,
11377,ENXXX012,
11393,EN00B008,
11400,sternal_posterior_rotator,
11428,MNad63,
11431,EN00B015,
11436,MNad64,
11446,PSI,
11453,EN00B016,
11469,EN00B010,
11480,MNhl67,
11489,tibia_extensor,
11529,sternal_posterior_rotator,
11545,MNad22,
11546,EN27X010,
11549,MNad62,
11554,EN00B013,
11562,sternal_anterior_rotator,
11572,MNad18,
11584,EN00B012,
11585,MNad18,
11624,MNad17,
11638,MNad40,
11654,PSI,
11657,tibia_extensor,
11663,DVM2a-b,
11672,EN27X010,
11675,EN00B008,
11706,tibia_extensor,
11745,ENXXX226,
11765,EN00B014,
11768,MNad19,
11776,DVM3a-b,
11786,long_tendon_muscle,
11800,ENXXX012,
11809,MNhl59,
11813,MNhl02,
11827,EAXXX079,
11830,MNad13,
11847,MNad17,
11897,MNad19,
11900,EN00B011,
11911,EN00B015,
11919,EN00B011,
11946,EN00B003,
11951,EN00B017,
11954,MNnm08,
11971,EN00B013,
11972,EN00B016,
11991,MNwm35,
12009,MNxm01,
12096,pleural_remotor_abductor,
12113,femur_reductor,
12134,tibia_flexor,
12185,MNad37,
12196,MNml29,
12209,MNad18,
12223,EN00B016,
12224,EN00B023,
12225,MNad36,
12269,MNad13,
12308,MNxm02,
12314,MNad27,
12330,DVM1a-c,
12389,MNad16,
12395,EN00B001,
12396,tergopleural_promotor,
12445,MNad27,
12468,MNad17,
12474,accessory_tibia_flexor,
12499,MNad61,
12503,EN00B019,
12504,MNhl67,
12506,MNad36,
12509,MNad15,
12526,MNad66,
12529,MNad35,
12585,tibia_flexor,
12603,MNnm09,
12612,MNad15,
12614,EN00B010,
12618,ENXXX128,
12628,tergopleural_promotor,
12638,MNad19,
12646,MNad17,
12682,MNad17,
12686,tergopleural_promotor,
12693,long_tendon_muscle,
12704,tibia_extensor,
12725,accessory_tibia_flexor,
12756,MNad35,
12758,accessory_tibia_flexor,
12759,accessory_tibia_flexor,
12761,accessory_tibia_flexor,
12774,ENXXX226,
12788,EN00B016,
12800,MNhl66,
12802,MNad14,
12810,MNad14,
12841,MNad18,
12844,MNad13,
12877,ENXXX128,
12891,femur_reductor,
12927,hg2,
13006,tibia_extensor,
13024,ENXXX226,
13033,long_tendon_muscle,
13036,MNml81,
13050,MNad38,
13069,sternotrochanter,
13072,MNxm02,
13075,tibia_extensor,
13095,MNhl66,
13105,MNad15,
13115,tibia_extensor,
13144,MNhl65,
13151,hiii2,
13156,long_tendon_muscle,
13163,tibia_flexor,
13170,accessory_tibia_flexor,
13182,MNad09,
13183,MNad12,
13188,MNad58,
13192,tibia_flexor,
13214,STTMm,
13225,MNad12,
13228,DVM3a-b,
13241,long_tendon_muscle,
13242,MNad08,
13280,tibia_flexor,
13283,tibia_flexor,
13297,MNad13,
13298,MNad26,
13300,sternal_anterior_rotator,
13311,tibia_flexor,
13356,MNad20,
13392,MNad57,
13395,ENXXX226,
13397,accessory_tibia_flexor,
