Cell ID,Cell Type,Dimorphism
10001,SNxxxx,
10003,SNta29,
10007,SNpp03,
10048,SNpp01,
10057,SNpp60,
10120,SNpp50,
10155,SNpp53,
10181,SNpp17,
10238,SNch05,
10247,SNpp53,
10325,SNta19,
10364,SNpp30,
10368,SNch05,
10515,SNta20,
10581,SNpp26,
10723,SNpp25,
10922,SNpp19,
10942,SNpp01,
10944,SNpp40,
11112,SNpp17,
11135,SNpp30,
11144,SNpp25,
11177,SNpp47,
11317,SNxx11,
11399,SNpp52,
11405,SNpp17,
11433,SNppxx,
11434,SNpp17,
11464,SNpp26,
11540,SNxx11,
11558,SNpp25,
11582,SNta09,
11615,SNpp30,
11645,SNpp63,
11689,SNpp24,
11712,SNpp38,
11728,SNpp60,
11753,SNpp53,
11755,SNpp42,
11762,SNxx11,
11815,SNpp34,
11852,SNpp34,
11868,SNpp38,
12085,SNpp24,
12235,SNpp30,
12245,SNxx07,
12286,SNxx11,
12294,SNxxxx,
12300,SNpp05,
12369,SNpp31,
12487,SNpp38,
12495,SNpp31,
12524,SNpp25,
12583,SNpp30,
12592,SNch07,
12626,SNpp34,
12637,SNpp25,
12668,SNpp38,
12713,SNpp47,
12717,SNpp27,
12729,SNxx11,
12768,SNxx11,
12775,SNta28,
12780,SNpp38,
12794,SNpp25,
12799,SNpp34,
12854,SNpp54,
12865,SNpp24,
12890,SNta13,
12944,SNta13,
13065,SNpp54,
13137,SNpp27,
13215,SNpp36,
13328,SNpp34,
13338,SNta13,
13485,SNpp34,
13529,SNpp36,
13533,SNppxx,
13572,SNpp28,
13590,SNpp05,
13597,SNxx10,
13707,SNxx15,
13730,SNpp19,
13735,SNpp45,
13767,SNpp34,
13808,SNpp06,
13822,SNpp19,
13825,SNxx13,
13860,SNxx08,
13863,SNpp04,
13877,SNxx23,
13954,SNxx11,
13967,SNxx10,
13983,SNta10,
14000,SNpp17,
14023,SNta02,
14178,SNpp38,
14221,SNpp53,
14222,SNpp11,
14274,SNpp07,
14315,SNpp02,
14378,SNpp06,
14394,SNpp06,
14427,SNxx11,
14436,SNta10,
14439,SNxx12,
14462,SNpp09,
14476,SNpp24,
14535,SNpp01,
14569,SNta06,
14587,SNta29,
14595,SNpp06,
14643,SNpp07,
14669,SNxx14,
14670,SNppxx,
14684,SNta37,
14687,SNxx04,
14733,SNpp09,
14753,SNpp28,
14832,SNta13,
14906,SNpp51,
14911,SNxx10,
14917,SNpp34,
14940,SNpp35,
14964,SNpp28,
15009,SNxx25,
15035,SNppxx,
15053,SNxx11,
15111,SNpp08,
15136,SNxx03,
15145,SNxx04,
15147,SNxx11,
15156,SNpp04,
15161,SNpp19,
15181,SNpp20,
15203,SNpp08,
15263,SNch01,
15313,SNpp01,
15359,SNpp62,
15375,SNxx10,
15491,SNxx23,
15545,SNxx09,
15570,SNxx19,
15575,SNta09,
15657,SNpp30,
15704,SNpp17,
15763,SNta10,
15822,SNpp42,
15826,SNta29,
15834,SNpp32,
15851,SNpp01,
15864,SNta33,
15889,SNpp07,
15915,SNch01,
15918,SNta05,
15947,SNta12,
15954,SNxx21,
15962,SNpp01,
15965,SNta40,
15980,SNpp18,
15982,SNxx28,
15991,SNpp19,
15994,SNpp01,
16022,SNpp01,
16029,SNta20,
16040,SNpp01,
16049,SNxx23,
16060,SNpp01,
16096,SNta10,
16161,SNxx04,
16180,SNpp01,
16279,SNxx23,
16291,SNxx23,
16314,SNxx10,
16321,SNxx04,
16332,SNpp28,
16378,SNpp01,
16386,SNpp01,
16430,SNxx06,
16472,SNpp28,
16494,SNpp17,
16524,SNxx10,
16533,SNpp16,
16550,SNpp04,
16643,SNch03,
16668,SNpp28,
16669,SNpp10,
16692,SNpp61,
16731,SNpp35,
16737,SNpp28,
16758,SNta07,
16794,SNpp10,
16805,SNpp11,
16807,SNxx10,
16841,SNxx28,
16866,SNpp07,
16887,SNta33,
16888,SNxx07,
16904,SNxx28,
16908,SNxx03,
16921,SNta09,
16937,SNxx31,
16950,SNpp08,
16959,SNxx23,
17003,SNpp01,
17007,SNpp12,
17144,SNpp17,
17152,SNxx02,
17153,SNpp45,
17175,SNpp61,
17202,SNpp35,
17263,SNpp07,
17302,SNpp09,
17306,SNpp01,
17308,SNpp42,
17331,SNpp19,
17356,SNpp33,
17369,SNxx23,
17398,SNpp17,
17446,SNxx23,
17448,SNxx04,
17478,SNxx03,
17485,SNpp10,
17486,SNpp52,
17504,SNxx23,
17511,SNpp11,
17517,SNpp14,
17524,SNta05,
17530,SNxx23,
17539,SNxx04,
17568,SNpp50,
17578,SNpp45,
17588,SNpp45,
17590,SNpp16,
17593,SNta20,
17604,SNpp50,
17616,SNxx01,
17700,SNxx01,
17706,SNppxx,
17743,SNpp12,
17748,SNpp32,
17749,SNxx23,
17788,SNpp32,
17789,SNxx28,
17809,SNpp02,
17839,SNpp52,
17847,SNpp28,
17853,SNpp01,
17873,SNxx04,
17902,SNxx26,
17920,SNpp28,
17937,SNxx07,
17950,SNpp32,
18025,SNxx23,
18056,SNpp35,
18065,SNxx23,
18082,SNpp52,
18096,SNxx01,
18100,SNxx23,
18102,SNxx01,
18118,SNch12,
18152,SNxx23,
18238,SNpp02,
18250,SNxx05,
18266,SNxx23,
18278,SNpp21,
18291,SNch09,
18314,SNta14,
18319,SNta11,
18355,SNta19,
18381,SNppxx,
18465,SNxx04,
18478,SNpp43,
18508,SNpp13,
18510,SNpp16,
18526,SNxx05,
18530,SNppxx,
18540,SNpp33,
18576,SNpp20,
18582,SNpp19,
18587,SNpp17,
18598,SNpp17,
18624,SNta14,
18659,SNta10,
18678,SNxx26,
18684,SNpp03,
18694,SNpp16,
18759,SNxx28,
18771,SNxx25,
18775,SNpp28,
18795,SNxx07,
18843,SNxx12,
18867,SNxx04,
18880,SNxx23,
18897,SNxx04,
18904,SNpp02,
18922,SNta05,
18932,SNxx03,
18935,SNpp45,
18941,SNpp32,
