Cell ID,Cell Type,Dimorphism
10001,DNp01,
10010,DNp01,
10026,DNp18,
10030,pIP1,male-specific
10033,DNg56,
10038,pIP1,male-specific
10045,DNg100,
10048,DNp18,
10054,DNpe013,
10056,DNg100,
10059,DNp20,
10063,DNp27,
10065,DNb05,potentially_sexually_dimorphic
10068,DNp30,
10069,AN07B004,
10071,AN12B011,
10087,ANXXX033,
10090,aSP22,sexually_dimorphic
10091,DNpe042,
10104,aSP22,sexually_dimorphic
10106,DNp11,
10117,DNp02,
10118,DNb05,potentially_sexually_dimorphic
10123,DNg30,
10124,DNg105,
10131,DNg74_a,
10135,DNge031,
10141,DNg15,
10143,DNp30,
10150,AN27X013,
10151,DNge103,sexually_dimorphic
10160,DNg90,
10162,DNp20,
10163,DNge036,
10165,AN05B101,
10177,DNg16,
10180,AN02A002,
10192,DNg75,
10195,DNp29,
10197,DNp02,
10199,AN10B022,
10213,DNge083,
10216,DNge037,
10218,DNg35,
10221,DNge037,
10223,DNpe056,
10228,DNp06,
10234,DNp35,
10236,DNg99,
10237,DNg30,
10244,DNp55,
10245,DNp36,sexually_dimorphic
10247,DNg74_a,
10249,DNp31,
10253,AN07B004,
10259,DNp11,
10264,DNp31,
10274,DNg108,
10280,DNp47,
10281,DNg108,
10283,DNp103,
10286,DNpe053,
10291,AN06B007,
10295,DNg34,
10296,DNge054,
10301,DNge050,
10304,DNge041,
10313,DNge031,
10336,DNg22,
10341,DNp19,
10342,DNc02,
10354,DNp73,
10360,DNa02,
10361,DNg40,
10366,DNp59,
10377,DNge054,
10379,DNa10,
10384,DNp63,
10388,DNp13,sexually_dimorphic
10394,DNg98,
10411,DNb09,
10416,DNde002,potentially_sexually_dimorphic
10417,DNp103,
10425,DNp10,
10433,DNp10,
10434,AN19B019,
10440,DNg16,
10442,DNa01,
10444,DNge035,
10446,DNp73,
10447,DNge138,
10449,DNpe025,sexually_dimorphic
10458,DNp13,sexually_dimorphic
10460,DNa09,potentially_sexually_dimorphic
10464,DNp08,
10469,DNbe001,
10482,DNg35,
10499,DNge039,
10504,DNp62,
10506,DNg37,potentially_sexually_dimorphic
10512,ANXXX109,
10520,DNg74_b,
10527,DNpe017,potentially_sexually_dimorphic
10535,DNg37,potentially_sexually_dimorphic
10536,DNg29,
10543,DNa16,
10544,DNg88,
10545,AN06B009,
10548,DNg80,
10550,AN02A001,
10552,DNp29,
10558,DNp35,
10562,DNp26,
10575,DNde002,potentially_sexually_dimorphic
10576,AN12B004,
10577,DNg96,potentially_sexually_dimorphic
10578,DNpe034,sexually_dimorphic
10580,DNp70,
10582,DNge040,
10584,DNp06,
10587,DNge011,
10589,DNp43,
10590,DNpe052,potentially_sexually_dimorphic
10592,AN08B012,
10601,DNpe025,sexually_dimorphic
10620,AN08B007,
10643,DNge059,
10649,DNp38,
10654,DNb01,
10662,DNge003,
10664,DNp33,
10668,DNge006,
10671,AN02A002,
