Cell ID,Cell Type,Dimorphism
10581,IN06B012,
11270,IN01A020,
20260,INXXX056,
22709,IN05B022,
27478,w-cHIN,
29300,IN17A029,
47170,INXXX217,
78326,IN03B058,
82663,IN19A006,
98796,IN00A053,
195007,IN10B036,
537470,IN04B053,
800001,IN07B016,
800002,IN07B010,
800003,IN17A001,
800004,IN07B007,
800008,IN19A002,
800009,IN17A001,
800011,IN23B006,
800014,IN17B003,
800018,IN01A008,
800020,IN19A001,
800021,IN03A003,
800022,IN19B110,
800024,IN19B107,
800026,IN05B010,
800027,IN23B007,
800029,INXXX147,
800030,IN12B002,
800032,IN21A001,
800033,IN10B001,
800035,IN05B002,
800036,IN03B020,
800037,IN10B001,
800040,IN05B002,
800041,IN27X001,
800042,IN27X005,
800046,IN23B020,
800048,IN09A001,
800051,IN07B001,
800052,INXXX095,
800053,IN07B001,
800054,INXXX025,potentially_male-specific
800059,IN09A004,
800062,IN06B001,
800063,IN12B002,
800064,IN14A002,
800069,IN08A007,
800070,IN19B021,
800071,IN12B002,
800072,INXXX464,
800073,IN12A001,
800075,IN19B003,
800076,INXXX032,
800077,IN12B002,
800079,IN01A035,
800081,IN08A002,
800082,IN19A011,
800084,IN19B008,
800085,IN07B002,
800086,IN09A014,
800087,IN05B010,
800088,INXXX003,
800089,IN19B012,
800090,IN19A019,
800091,IN04B004,
800092,IN05B028,
800093,IN03B035,
800095,IN20A.22A001,
800097,IN14A002,
800098,IN05B010,
800100,INXXX468,
800101,IN01A012,
800102,IN03A004,
800103,IN19A007,
800106,IN16B020,
800111,IN13A001,
800112,INXXX004,
800113,IN05B094,
800114,IN17A001,
800115,IN13B004,
800116,IN13A001,
800117,IN19A015,
800118,INXXX089,
800119,IN19A007,
800120,IN07B007,
800121,INXXX036,
800123,INXXX107,
800124,IN19A019,
800125,IN04B001,
800126,IN09A001,
800127,IN19A008,
800130,INXXX077,
800131,IN13B027,
800132,IN13A003,
800133,IN17A017,
800134,IN03A010,
800135,IN08B001,
800136,IN06B035,
800139,IN13A002,
800140,IN19B003,
800141,IN19A002,
800142,IN19B108,
800143,IN26X001,
800144,IN07B012,
800145,IN11A001,
800147,IN12A001,
800148,INXXX042,
800149,IN07B006,
800150,IN19A001,
800151,IN03A020,
800153,IN09A001,
800154,IN17A019,
800155,IN03A004,
800156,IN13B011,
800157,IN19A004,
800159,IN19B003,
800160,IN10B007,
800162,IN19A015,
800163,IN19A002,
800166,INXXX149,
800167,IN21A001,
800170,IN19A014,
800171,IN07B002,
800173,IN17A001,
800174,IN19A006,
800178,IN11A001,
800179,IN23B018,
800180,IN23B005,
800181,IN10B004,
800182,INXXX022,
800183,IN13A003,
800188,IN19A010,
800189,IN13A008,
800192,INXXX038,
800193,IN01B001,
800194,IN13A010,
800201,INXXX044,
800202,IN03B032,
800203,IN13A003,
800206,IN23B001,
800207,IN19A015,
800208,IN05B010,
800211,INXXX464,
800212,IN19A001,
800213,IN12B003,
800214,IN19A014,
800215,IN01A034,
800216,IN19B012,
800217,IN26X001,
800218,INXXX126,
800220,IN06B016,
800221,IN04B001,
800224,IN13A001,
800225,IN23B009,
800226,IN19A011,
800228,IN13A005,
800232,INXXX027,
800233,IN19A007,
800234,IN14B005,
800235,IN12A010,
800236,IN19A008,
800239,IN08A007,
800240,IN04B007,
800243,IN23B009,
800244,IN06B018,
800245,IN02A004,
800246,IN12B002,
800247,IN07B002,
800249,INXXX271,
800250,IN05B034,
800252,IN19A008,
800254,IN06B008,
800256,IN08A002,
800257,IN19A008,
800258,IN05B005,
800259,IN19A005,
800262,IN05B003,
800263,IN20A.22A001,
800264,IN13B007,
800265,IN12B013,
800267,INXXX011,
800268,IN01B001,
800269,IN19A004,
800270,IN13A002,
800271,IN07B007,
800272,INXXX044,
800273,IN13B004,
800276,IN14A002,
800277,IN18B015,
800278,IN13A007,
800279,IN03A071,
800281,INXXX004,
800283,IN17A007,
800286,INXXX464,
800287,IN13B007,
800288,IN17A001,
800291,IN13A001,
