Cell ID,Cell Type,Dimorphism
14576,EN00B026,
164190,MNad21,
800056,DVM1a-c,
800061,tergopleural_pleural_promotor,
800146,TTMn,
800158,Ti/extensor,
800175,pleural_remotor_abductor,
800184,MNwm36,
800190,MNwm35,
800230,MNml82,
800241,hg1,sexually_dimorphic
800248,MNad07,
800290,pleural_remotor_abductor,
800316,Sternal/anterior/rotator,
800358,MNhl64,
800381,i2,
800412,DVM1a-c,
800474,MNhm42,
800478,MNad68,
800479,MNad49,
800504,Sternotrochanter,
800541,pleural_remotor_abductor,
800553,pleural_remotor_abductor,
800573,i2,
800577,MNad61,
800578,Fe/reductor,
800589,trochanter_flexor,
800606,MNwm35,
800608,MNad19,
800615,EN00B013,
800621,Ti/extensor,
800636,Ti/extensor,
800637,i1,
800659,MNad22,
800664,MNad64,
800696,MNwm36,
800718,DLM1-4,
800719,EN00B001,
800743,ps1,
800762,MNad41,
800776,pleural_remotor_abductor,
800847,hg4,
800851,Sternotrochanter,
800875,MNad33,
800890,DLM1-4,
800899,tp2,
800906,hg4,
800911,Ti/extensor,
800917,hg1,sexually_dimorphic
800928,ps1,
800930,,
800962,Sternal/posterior/rotator,
801020,MNad20,
801021,hg3,
801057,trochanter_flexor,
801058,trochanter_flexor,
801079,Sternotrochanter,
801090,Sternotrochanter,
801137,b2,
801148,Sternotrochanter,
801158,MNad64,
801173,tergopleural_pleural_promotor,
801185,tpn,
801220,i1,
801234,Ti/extensor,
801267,MNhl02,
801292,b3,
801295,DLMn/a,
801304,MNad42,
801310,b1,
801319,MNnm13,
801335,MNhl59,
801350,b2,
801362,MNad41,
801375,Sternotrochanter,
801391,STTMm,
801394,MNad67,
801434,MNad19,
801469,Sternal/anterior/rotator,
801477,MNml81,
801491,MNad19,
801492,Sternal/posterior/rotator,
801521,EN00B002,
801548,Sternal/anterior/rotator,
801553,MNad05,
801636,EN00B013,
801637,accessory_tibia_flexor,
801678,ADNM1,
801685,Sternotrochanter,
801693,Fe/reductor,
801715,Sternal/posterior/rotator,
801721,trochanter_flexor,
801736,MNhl62,
801761,Sternal/posterior/rotator,
801768,Sternal/posterior/rotator,
801813,Sternal/anterior/rotator,
801815,tpn,
801816,DVM1a-c,
801824,tergopleural_pleural_promotor,
801895,DLM1-4,
801899,MNad42,
801915,Sternal/posterior/rotator,
801918,Sternal/anterior/rotator,
801932,,
801933,MNhm42,
801946,Sternal/anterior/rotator,
801949,tp2,
801970,DLMn/a,
801998,DLM1-4,
802003,MNad01,
802028,tp1,
802055,hi2,
802072,tergopleural_pleural_promotor,
802114,MNad66,
802116,MNad65,
802120,b3,
802130,MNad02,
802137,MNad19,
802151,MNnm03,
802152,MNnm08,
802164,MNad14,
802201,MNad68,
802215,Sternal/anterior/rotator,
802232,trochanter_flexor,
802240,MNad62,
802251,MNad34,
802252,MNad34,
802295,tibia_flexor,
802315,tp1,
802327,iii3,
802361,Sternotrochanter,
802372,EN00B018,
802401,PSI,
802405,MNad06,
802407,Sternotrochanter,
802413,MNad53,
802500,MNad40,
802509,pleural_remotor_abductor,
802521,Sternal/posterior/rotator,
802544,DLM1-4,
802552,Tergotr.,
802579,MNad65,
802587,MNad20,
802659,MNhm03,
802672,EN00B016,
802690,MNad30,
802731,MNhl59,
802781,MNnm08,
802806,MNhm03,
802835,iii1,
802837,ps2,
802864,Sternotrochanter,
802907,MNad23,
802923,MNnm03,
802937,MNad63,
802954,MNad53,
802964,Sternal/posterior/rotator,
802978,,
802980,MNad63,
803005,EN00B004,
803010,MNad17,
803013,DLM1-4,
803015,EN00B020,
803047,MNad15,
803048,DLM1-4,
803070,MNad16,
803072,tibia_flexor,
803086,MNml29,
803100,iii1,
803107,MNad08,
803129,DVM1a-c,
803147,tibia_flexor,
803215,hDVM,
