Cell ID,Cell Type,Dimorphism
800049,SNpp30,
800611,SNxx23,
801205,SNpp12,
801379,SNpp30,
801533,SNpp30,
801680,SNxx11,
801695,SNch01,
801756,SNta13,
801906,SNpp31,
801957,SNxx25,
801960,SNpp30,
801990,SNpp30,
802008,SNpp30,
802125,SNxx29,
802199,SNpp31,
802282,SNxx29,
802287,SNpp17,
802350,SNpp51,
802409,SNta13,
802412,,
802424,SNpp32,
802482,SNxx03,
802612,SNpp34,
802708,SNpp32,
802759,SNta10,
802939,SNta12,
802956,SNpp32,
803088,SNpp32,
803140,SNxx29,
803150,SNta13,
803161,,
803247,SNpp32,
803325,SNpp30,
803374,SNpp05,
803457,SNpp30,
803512,SNppxx,
803525,SNta05,
803555,SNta37,
803581,SNxx02,
803626,SNta10,
803634,SNpp05,
803738,SNppxx,
803739,SNta12,
803761,SNta32,
803768,SNxx03,
803882,SNta33,
803886,SNxx25,
803887,LgLG5,
803903,SNxx29,
803913,LgLG1a,
803964,SNta29,
803966,SNxx20,
803989,SNxxxx,
804010,SNpp50,
804024,SNch01,
804076,SNxx17,
804087,,
804104,SNta05,
804120,SNta33,
804142,SNta02,
804151,SNta05,
804176,SNxx09,
804191,SNxx29,
804202,SNxx11,
804216,SNta21,
804221,SNxx30,
804256,SNta33,
804262,,
804263,SNta34,
804283,SNpp33,
804287,SNta37,
804292,SNpp33,
804317,SNpp45,
804352,SNpp52,
804361,SNta38,
804369,,
804373,SNpp62,
804377,SNxx03,
804390,,
804430,SNppxx,
804436,SNpp04,
804447,SNta20,
804460,SNpp45,
804476,WG2,
804486,SNta10,
804490,SNpp33,
804498,SNta33,
804506,SNta06,
804528,SNch01,
804542,SNpp39,
804596,SNta25,
804606,SNpp04,
804614,SNta13,
804646,SNpp33,
804668,SNxx03,
804694,SNta02,
804718,SNta33,
804744,SNpp40,
804762,SNxx15,
804765,SNxx09,
804777,SNxx14,
804782,,
804799,SNxx11,
804807,,
804816,SNta29,
804834,WG4,
804852,SNta14,
804864,LgLG6,
804888,,
804911,SNpp28,
804923,SNxx14,
804975,SNpp45,
804983,SNpp52,
804998,SNppxx,
805000,SNxx29,
805001,SNxx29,
805050,SNta05,
805052,SNpp33,
805076,SNxx14,
805080,SNta37,
805134,SNxx11,
805140,,
805181,SNta20,
805200,SNta33,
805282,SNpp16,
805314,SNch01,
805327,SNta21,
805328,SNpp43,
805347,SNch01,
805418,SNxx03,
805436,SNppxx,
805493,SNch01,
805508,SNxx11,
805509,SNta11,
805510,SNpp20,
805518,SNxx14,
805531,SNta02,
805534,SNch01,
805552,SNta37,
805554,SNta21,
805579,SNpp33,
805586,,
805587,SNch01,
805588,SNxx07,
805594,SNch01,
805623,SNch01,
805625,,
805646,WG3,
805659,LgLG6,
805668,SNxx07,
805687,SNta42,
805691,,
805695,SNta21,
805706,SNpp33,
805712,SNpp51,
805714,SNppxx,
805718,SNta30,
805722,SNpp10,
805733,SNpp10,
805765,SNta27,
805772,SNpp16,
805783,SNta07,
805786,SNxx23,
805789,SNpp19,
805799,,
805812,SNch01,
805861,SNpp52,
805864,SNta29,
805900,SNppxx,
805901,SNxx24,
805928,SNpp19,
805931,SNxx06,
805937,SNxx04,
805939,SNta06,
805944,SNta38,
805950,SNta38,
805951,SNpp19,
805956,SNch01,
805975,SNch01,
805978,SNpp10,
805981,SNpp10,
806000,SNta37,
806006,SNpp04,
806020,SNxx04,
806027,SNxx04,
806035,SNxx04,
806053,SNta11,
806067,SNch01,
806073,SNxx07,
806078,SNch01,
806080,SNpp52,
806102,SNpp06,
806118,SNxx04,
806127,LgLG3b,
806142,SNta38,
806159,SNxx07,
806194,LgLG6,
806196,SNxx07,
806202,SNta29,
806208,SNxx07,
806211,SNta29,
806212,,
806226,SNpp45,
806254,SNpp16,
806261,SNch01,
806269,SNppxx,
806280,,
806288,SNxx07,
806323,LgLG6,
806328,SNxx04,
806332,SNta28,
806336,SNta30,
806337,SNpp62,
806348,SNpp16,
806385,SNxx25,
806388,SNxx20,
806405,SNta25,
806419,SNppxx,
806428,SNpp16,
806437,SNxx23,
806452,SNta04,
806454,SNch01,
806456,,
806476,,
806482,SNta14,
806488,SNta07,
806491,SNpp51,
806526,SNpp42,
806527,SNch01,
806548,SNxx29,
806553,SNppxx,
806572,SNpp45,
806585,WG4,
806589,SNch01,
806594,SNch01,
806595,SNta02,
806596,SNpp19,
806610,SNxx07,
806629,SNppxx,
806634,SNta37,
806637,SNta02,
806641,SNxx01,
806645,LgLG1a,
806652,SNxx20,
806654,SNpp19,
806680,SNxx04,
806694,SNxx33,
806695,SNpp40,
806696,SNta13,
806697,SNta21,
806698,SNppxx,
806709,SNppxx,
806721,SNta37,
806731,,
806742,SNta21,
806744,,
806745,SNta30,
806746,SNxx10,
806749,SNpp10,
806750,SNta37,
806751,SNpp16,
806766,SNta07,
806777,SNpp19,
806778,SNxx15,
806784,LgLG1a,
806786,SNta30,
806791,SNpp19,
806800,SNta43,
806812,SNxx07,
806841,SNta06,
806847,SNppxx,
806853,SNppxx,
806856,LgLG6,
806859,SNpp51,
806863,SNta21,
806867,SNxx23,
806883,SNxx17,
806897,SNxx23,
806904,SNxx23,
806916,SNta14,
806918,SNpp45,
806920,SNta04,
806921,SNta03,
806928,SNxx23,
806933,SNta38,
806934,SNpp40,
806962,SNpp45,
806966,SNppxx,
806967,SNpp19,
806980,SNxx23,
807004,SNxx11,
807019,LgLG3b,
807028,,
807032,SNxx31,
807042,,
807043,SNpp16,
807045,SNpp10,
807052,SNta18,
807064,SNpp47,
807067,SNxx07,
807089,,
807093,SNpp62,
807098,SNta11,
807110,SNta38,
807119,SNxx07,
807130,SNpp63,
807145,SNxx17,
807168,WG4,
807169,SNxx23,
807171,SNpp19,
807178,SNta14,
807182,SNxx23,
807189,SNpp63,
807192,SNch01,
807195,SNxx23,
807206,SNta04,
807210,SNpp63,
807215,SNta28,
807216,SNxx15,
807217,SNpp07,
807220,SNppxx,
807234,LgLG7,
807235,SNta42,
807248,,
807257,SNxx15,
807272,SNppxx,
807274,SNppxx,
807283,SNxx14,
807285,WG4,
807290,SNpp16,
807304,,
807305,SNta11,
807306,SNxx15,
807311,SNpp19,
807316,SNpp08,
807320,SNxx07,
807328,SNch01,
807329,SNta29,
807335,SNta14,
