Cell Type,Category,Reference,Eval
AN00A006,Dimorphic,,
AN03A008,Male Specific,,
AN05B035,Male Specific,,
AN05B095,Male Specific,,
AN06B004,Male Specific,,
AN08B009,Xxx Specific,,
AN08B020,Male Specific,,
AN08B031,Dimorphic,,
AN08B035,Male Specific,,
AN08B043,Dimorphic,,
AN08B047,Xxx Specific,,
AN08B059,Xxx Specific,,
AN08B061,Xxx Specific,,
AN08B069,Dimorphic,,
AN08B084,Male Specific,,
AN09B012,Dimorphic,,
AN09B017,Male Specific,,
AN09B028,Dimorphic,,
AN10B026,Male Specific,,
AN12B060,Dimorphic,,
AN12B089,Dimorphic,,
AN18B053,Dimorphic,,
AN19A018,Xxx Specific,,
AN19B024,Xxx Specific,,
AN19B104,Dimorphic,,
AN23B026,Male Specific,,
AN27X003,Xxx Specific,,
AN27X019,Male Specific,,
ANXXX050,Male Specific,,
ANXXX068,Male Specific,,
ANXXX071,Male Specific,,
ANXXX084,Dimorphic,,
ANXXX116,Dimorphic,,
ANXXX150,Xxx Specific,,
ANXXX152,Male Specific,,
ANXXX254,Dimorphic,,
DNa08,Dimorphic,,
DNp48,Dimorphic,,
DNut044,Male Specific,,
DNxl053,Male Specific,,
DNxl074,Dimorphic,,
DNxl093,Dimorphic,,
DNxl094,Dimorphic,,
DNxl103,Dimorphic,,
IN00A013,Male Specific,New,
IN00A021,Male Specific,New,
IN00A023,Male Specific,New,
IN00A027,Dimorphic,New,type_assembly_errors
IN00A068,Male Specific,New,
IN00A069,Male Specific,New,
IN00A070,Male Specific,New,
IN00A071,Male Specific,New,
IN01A013,Male Specific,New,
IN01A029,Dimorphic,New,internally_consistent
IN01A037,Dimorphic,New,needs_minor_rectification
IN01A040,Male Specific,New,
IN01A041,Male Specific,New,
IN01A043,Dimorphic,New,needs_detailed_examination
IN01A051,Dimorphic,New,internally_consistent
IN01A084,Dimorphic,New,needs_detailed_examination
IN01B014,Male Specific,New,
IN01B058,Male Specific,New,
IN01B088,Xxx Specific,New,
IN02A006,Male Specific,New,
IN02A024,Dimorphic,New,internally_consistent
IN02A039,Dimorphic,New,internally_consistent
IN03A015,Dimorphic,New,internally_consistent
IN03A097,Dimorphic,New,internally_consistent
IN03B024,Dimorphic,New,internally_consistent
IN03B029,Male Specific,New,
IN04B009,Male Specific,New,
IN04B010,Male Specific,New,
IN04B012,Male Specific,New,
IN04B013,Male Specific,New,
IN04B016,Male Specific,New,
IN04B017,Male Specific,New,
IN04B018,Male Specific,New,
IN04B021,Dimorphic,New,needs_minor_rectification
IN04B024,Male Specific,New,
IN04B026,Dimorphic,New,needs_detailed_examination
IN04B030,Male Specific,New,
IN04B032,Dimorphic,New,type_assembly_errors
IN04B040,Male Specific,New,
IN04B048,Male Specific,New,
IN04B060,Male Specific,New,
IN04B065,Male Specific,New,
IN04B076,Male Specific,New,
IN04B077,Male Specific,New,
IN04B079,Male Specific,New,
IN05B008,Male Specific,New,
IN05B014,Male Specific,New,
IN05B034,Dimorphic,New,internally_consistent
IN05B066,Dimorphic,New,needs_minor_rectification
IN05B073,Dimorphic,New,needs_minor_rectification
IN05B074,Male Specific,New,
IN05B084,Male Specific,New,
