target_type,dataset,neuron_id,super_class,dim_category
IN19A121,BANC_only,720575941518454451,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN19A121,BANC_only,720575941680066749,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN19A121,BANC_only,720575941474409521,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN19A121,BANC_only,720575941468769803,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN19A121,BANC_only,720575941438713179,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN19A121,BANC_only,720575941533958531,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX388,BANC_only,720575941572455326,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941585233118,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX271,BANC_only,720575941555228161,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX271,BANC_only,720575941652995033,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941603690937,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941428340728,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN19A121,BANC_only,720575941628501218,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX271,BANC_only,720575941688652662,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX388,BANC_only,720575941525343234,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX283,BANC_only,720575941576087222,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941434394766,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941562483042,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941560227629,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941479595906,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941730041643,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX283,BANC_only,720575941554015003,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX402,BANC_only,720575941537485032,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN19A121,BANC_only,720575941680101053,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN19A121,BANC_only,720575941561072399,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
AN05B023c,maleCNS_only,18430,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
AN08B099_g,maleCNS_only,60511,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
AN18B032,maleCNS_only,28663,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
IN09B052_b,maleCNS_only,815264,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
INXXX409,maleCNS_only,801178,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
MNad08,maleCNS_only,803107,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
MNad10,maleCNS_only,803904,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
MNad16,maleCNS_only,803070,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
MNad17,maleCNS_only,803010,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
MNad53,maleCNS_only,802413,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
MNad55,maleCNS_only,812193,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx04,maleCNS_only,908336,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,806073,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,806159,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,806208,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,806610,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,807119,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,807320,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,807350,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,809561,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx07,maleCNS_only,810894,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx08,maleCNS_only,807983,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx08,maleCNS_only,905509,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
SNxx17,maleCNS_only,807935,ventral_nerve_cord_intrinsic,cross-mapped dimorphic
