target_type,dataset,super_class
IN19A121,BANC_only,ventral_nerve_cord_intrinsic
INXXX388,BANC_only,ventral_nerve_cord_intrinsic
INXXX402,BANC_only,ventral_nerve_cord_intrinsic
INXXX271,BANC_only,ventral_nerve_cord_intrinsic
INXXX283,BANC_only,ventral_nerve_cord_intrinsic
IN09B052_b,maleCNS_only,ventral_nerve_cord_intrinsic
AN05B023c,maleCNS_only,ventral_nerve_cord_intrinsic
AN08B099_g,maleCNS_only,ventral_nerve_cord_intrinsic
AN18B032,maleCNS_only,ventral_nerve_cord_intrinsic
INXXX409,maleCNS_only,ventral_nerve_cord_intrinsic
MNad08,maleCNS_only,ventral_nerve_cord_intrinsic
MNad10,maleCNS_only,ventral_nerve_cord_intrinsic
MNad16,maleCNS_only,ventral_nerve_cord_intrinsic
MNad17,maleCNS_only,ventral_nerve_cord_intrinsic
MNad53,maleCNS_only,ventral_nerve_cord_intrinsic
MNad55,maleCNS_only,ventral_nerve_cord_intrinsic
SNxx04,maleCNS_only,ventral_nerve_cord_intrinsic
SNxx07,maleCNS_only,ventral_nerve_cord_intrinsic
SNxx08,maleCNS_only,ventral_nerve_cord_intrinsic
SNxx17,maleCNS_only,ventral_nerve_cord_intrinsic
