target_type,dataset,neuron_id,super_class,dim_category
AN05B023c,BANC_only,720575941499916962,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941527011865,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941581081681,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941476515636,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941480782755,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941409888303,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941563345576,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941668463347,ascending,cross-mapped dimorphic
AN18B032,BANC_only,720575941411344043,ascending,cross-mapped dimorphic
AN18B032,BANC_only,720575941460227824,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941498862242,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941516122540,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941479604643,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941615507925,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941472554336,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941537542376,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941469018743,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941642837842,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941592445291,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941560068334,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941546216628,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941503123339,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941560978670,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941556235940,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941486783238,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941689667547,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941488256976,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941687950555,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941537194778,ascending,cross-mapped dimorphic
AN08B099_g,BANC_only,720575941500908171,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941461378374,ascending,cross-mapped dimorphic
AN05B023c,BANC_only,720575941452657018,ascending,cross-mapped dimorphic
LgLG5,maleCNS_only,808825,ascending,cross-mapped dimorphic
LgLG5,maleCNS_only,813471,ascending,cross-mapped dimorphic
