label,hex,type,colour
corpus_allatum,#695B52,body_part,brown_grey
corpus allatum,#695B52,body_part,brown_grey
hemolymph,#EE4244,body_part,red
retrocerebral complex,#EE4244,body_part,red
retrocerebral_complex,#EE4244,body_part,red
enteric complex,#937B68,body_part,taupe
enteric complex,#937B68,body_part,taupe
digestive tract,#D05633,body_part,rust_orange
digestive_tract,#D05633,body_part,rust_orange
enteric,#736c26,body_part,muddy
crop,#736c26,body_part,muddy
salivary gland,#1BB6AF,body_part,teal
salivary_gland,#1BB6AF,body_part,teal
pharynx,#6D2C7B,body_part,purple
proboscis,#c92c44,body_part,deep_red
antenna,#FF1493,body_part,deep_pink
eye,#8B4513,body_part,brown
neck,#D2691E,body_part,orange
haltere,#299838,body_part,mid_green
wing,#4169E1,body_part,royal_blue
front leg,#FF4500,body_part,orange_red
front_leg,#FF4500,body_part,orange_red
middle leg,#FFA500,body_part,orange
middle_leg,#FFA500,body_part,orange
hind leg,#916730,body_part,gold
hind_leg,#916730,body_part,gold
ureter,#FFD700,body_part,gold
abdomen,#60BC5B,body_part,light_green
reproductive tract,#6495ED,body_part,cornflower_blue
reproductive,#6495ED,body_part,cornflower_blue
reproductive_tract,#6495ED,body_part,cornflower_blue
uterus,#4169E1,body_part,royal_blue
neurohemal complex,#FF4500,body_part,orange_red
neurohemal_complex,#FF4500,body_part,orange_red
thoracic abdominal segmental,#808080,body_part,grey
thoracic_abdominal_segmental,#808080,body_part,grey
spiracle,#6D2C7B,body_part,purple
thorax,#808080,body_part,gray
head,#624596,body_part,purple
gut,#808080,body_part,gray
aorta_hemolymph,#FF0000,body_part,red
cibarium,#87CEEB,body_part,sky_blue
labellum,#FF1493,body_part,deep_pink
prosternal_organ,#D2691E,body_part,orange
antennal_lobe_local_neuron,#F4B95A,class,peach
lateral_horn_centrifugal_neuron,#FF1493,class,deep_pink
contralteral,#FBBB48,class,golden_yellow
centrifugal,#FF1493,class,deep_pink
suboesophageal_zone_projection_neuron,#009F3F,class,green
wedge_projection_neuron,#132157,class,navy_blue
lateral_horn_output_neuron,#54BCD1,class,sky_blue
lateral_horn_local_neuron,#8FDA04,class,lime_green
lateral_horn_neuron,#8FDA04,class,lime_green
kenyon_cell,#EFC7E6,class,pink
mushroom_body_dopaminergic_neuron,#EF7C12,class,orange
centrifugal,#FF1493,class,deep_pink
antennal_lobe_projection_neuron,#d55e3a,class,rust_red
uniglomerular_projection_neuron,#FC5A50,class,coral
biglomerular_projection_neuron,#1BB6AF,class,teal
multiglomerular_projection_neuron,#AF6125,class,brown
sensory_descending,#f018ec,class,deep_pink
descending,#FF1493,class,deep_pink
olfactory_receptor_neuron,#F0E442,class,yellow
wedge_projection_neuron,#132157,class,navy_blue
suboesophageal_projection_neuron,#009F3F,class,green
third_order_olfactory_neuron,#D72000,class,red
third_order_olfactory_output_neuron,#D72000,class,red
third_order_olfactory_local_neuron,#8b0000,class,dark_red
mushroom_body_output,#800080,class,purple
mushroom_body_output_neuron,#800080,class,purple
projection_neuron,#FBBB48,class,golden_yellow
axon,#EE4244,compartment,red
dendrite,#54BCD1,compartment,sky_blue
primary.neurite,#C70E7B,compartment,magenta
primary_neurite,#C70E7B,compartment,magenta
primary.dendrite,#8FDA04,compartment,lime_green
linker,#8FDA04,compartment,lime_green
primary_dendrite,#8FDA04,compartment,lime_green
soma,#C70E7B,compartment,magenta
axon_axon,#fa8283,compartment,light_red
axon_dendrite,#ba1d02,compartment,dark_red
dendrite_dendrite,#8acedb,compartment,light_blue
dendrite_axon,#0ba39c,compartment,teal
axon-axon,#fa8283,compartment,light_red
axon-dendrite,#ba1d02,compartment,dark_red
dendrite-dendrite,#8acedb,compartment,light_blue
dendrite-axon,#0ba39c,compartment,teal
output,#D72000,connection,red
input,#132157,connection,navy_blue
strong,#000000,connection,black
medium,#4D4D4D,connection,dark_grey
weak,#B3B3B3,connection,light_grey
hemibrain,#F4B95A,dataset,peach
fafb,#FC1707,dataset,red
FAFB,#FC1707,dataset,red
MANC,#8FD40D,dataset,lime_green
manc,#8FD40D,dataset,lime_green
franken,#7D8091,dataset,blue_grey
frankenbrain,#7D8091,dataset,blue_grey
banc,#2a5f75,dataset,regal_blue
BANC,#2a5f75,dataset,regal_blue
fanc,#6495ED,dataset,corn_blue
malecns,#389636,dataset,dark_green
maleCNS,#389636,dataset,dark_green
intrinsic,#1FA99F,flow,teal
afferent,#F39A13,flow,orange
efferent,#EFC7E6,flow,pink
effectors,#EFC7E6,flow,pink
motor,#ee756f,super class,vibrant pink
sensors,#F39A13,flow,orange
sensory,#F39A13,flow,orange
vision,#1BB6AF,flow,teal
